Symbol,Name,Twitter_handle
AAPL,Apple Inc.      ,@Apple
ABBV,AbbVie Inc.      ,@abbvie
ABT,Abbott Laboratories      ,@AbbottGlobal
ACN,Accenture plc      ,@Accenture
AGN,Allergan plc      ,@Allergan
AIG,American International Group Inc.    ,@AIGinsurance
ALL,Allstate Corp.      ,@Allstate
AMGN,Amgen Inc.      ,@Amgen
AMZN,Amazon.com       ,@amazon
AXP,American Express Inc.     ,@AmericanExpress
BA,Boeing Co.      ,@boeing
BAC,Bank of America Corp    ,@BankofAmerica
BIIB,Biogen       ,@biogen
BK,The Bank of New York Mellon  ,@BNYMellon
BKNG,Booking Holdings      ,@BookingHoldings
BLK,BlackRock Inc      ,@blackrock
BMY,Bristol-Myers Squibb      ,@bmsnews
BRK.B,Berkshire Hathaway      ,@BHHSRealEstate
C,Citigroup Inc      ,@Citi
CAT,Caterpillar Inc      ,@CaterpillarInc
CELG,Celgene Corp      ,@Celgene
CHTR,Charter Communications      ,@CharterCom
CL,Colgate-Palmolive Co.      ,@CP_News
CMCSA,Comcast Corporation      ,@comcast
COF,Capital One Financial Corp.    ,@CapitalOne
COP,ConocoPhillips       ,@conocophillips
COST,Costco       ,@Costco
CSCO,Cisco Systems      ,@Cisco
CVS,CVS Health      ,@CVSHealth
CVX,Chevron Corporation      ,@Chevron
DHR,Danaher Corporation      ,
DIS,The Walt Disney Company    ,@WaltDisneyCo
DUK,Duke Energy      ,@DukeEnergy
DWDP,DowDuPont       ,@DowDuPontCo
EMR,Emerson Electric Co.     ,
EXC,Exelon       ,@Exelon
F,Ford Motor      ,@Ford
FB,Facebook       ,@facebook
FDX,FedEx       ,@FedEx
FOX,21st Century Fox     ,@20thcenturyfox
GD,General Dynamics      ,@GDMS
GE,General Electric Co.     ,@generalelectric
GILD,Gilead Sciences      ,@GileadSciences
GM,General Motors      ,@GM
GOOG,Alphabet Inc      ,@Google
GS,Goldman Sachs      ,@GoldmanSachs
HAL,Halliburton       ,@Halliburton
HD,Home Depot      ,@HomeDepot
HON,Honeywell       ,@honeywell
IBM,International Business Machines     ,@IBM
INTC,Intel Corporation      ,@intel
JNJ,Johnson & Johnson Inc    ,@JNJNews
JPM,JP Morgan Chase & Co   ,@jpmorgan
KHC,Kraft Heinz      ,@KraftHeinzCo
KMI,Kinder Morgan      ,@Kinder_Morgan
KO,The Coca-Cola Company     ,@CocaCola
LLY,Eli Lilly and Company    ,@LillyPad
LMT,Lockheed Martin      ,@LockheedMartin
LOW,Lowe's       ,@Lowes
MA,MasterCard Inc      ,@Mastercard
MCD,McDonald's Corp      ,@McDonaldsCorp
MDLZ,Mondel?z International      ,@MDLZ
MDT,Medtronic Inc.      ,@Medtronic
MET,Metlife Inc.      ,@MetLife
MMM,3M Company      ,@3M
MO,Altria Group      ,@AltriaNews
MRK,Merck & Co.     ,@Merck
MS,Morgan Stanley      ,@MorganStanley
MSFT,Microsoft       ,@Microsoft
NEE,NextEra Energy      ,@NextEraEnergyR
NFLX,Netflix       ,@netflix
NKE,Nike       ,@Nike
NVDA,Nvidia Corporation      ,@nvidia
ORCL,Oracle Corporation      ,@Oracle
OXY,Occidental Petroleum Corp.     ,@OXY_Petroleum
PEP,Pepsico Inc.      ,@PepsiCo
PFE,Pfizer Inc      ,@pfizer
PG,Procter & Gamble Co    ,@ProcterGamble
PM,Phillip Morris International     ,@PMIScience
PYPL,PayPal Holdings      ,@PayPal
QCOM,Qualcomm Inc.      ,@Qualcomm
RTN,Raytheon Company      ,@Raytheon
SBUX,Starbucks Corporation      ,@Starbucks
SLB,Schlumberger       ,
SO,Southern Company      ,@SouthernCoGas
SPG,"Simon Property Group, Inc.    ",
T,AT&T Inc      ,@ATT
TGT,Target Corp.      ,@Target
TXN,Texas Instruments      ,@TXInstruments
UNH,UnitedHealth Group      ,@UnitedHealthGrp
UNP,Union Pacific Corporation     ,@UnionPacific
UPS,United Parcel Service     ,@UPS
USB,US Bancorp      ,
UTX,United Technologies      ,@UTC
V,Visa Inc.      ,@VisaNews
VZ,Verizon Communications      ,@verizon
WBA,Walgreens Boots Alliance     ,@Walgreens
WFC,Wells Fargo      ,@WellsFargo
WMT,Wal-Mart       ,@Walmart
XOM,Exxon Mobil Corp     ,@exxonmobil
